HS Code,Description
8401,"Nuclear reactors; fuel elements ""cartridges"" non-irradiated for nuclear reactors; machinery and apparatus for isotopic separation; parts thereof"
8402,Steam or other vapour generating boilers (excl. central heating hot water boilers capable also of producing low pressure steam); superheated water boilers; parts thereof
8403,Central heating boilers non-electric; parts thereof (excl. vapour generating boilers and superheated water boilers of heading 8402)
8404,Auxiliary plant for use with boilers of heading 8402 or 8403 e.g. economizers superheaters soot removers and gas recoverers; condensers for steam or other vapour power units; parts thereof
8405,Producer gas or water gas generators with or without their purifiers; acetylene gas generators and similar water process gas generators with or without their purifiers; parts thereof (excl. coke ovens electrolytic process gas generators and carbide lamps)
8406,Steam turbines and other vapour turbines; parts thereof
8407,Spark-ignition reciprocating or rotary internal combustion piston engine
8408,"Compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"""
8411,Turbojets turbopropellers and other gas turbines
8412,Engines and motors (excl. steam turbines internal combustion piston engine hydraulic turbines water wheels gas turbines and electric motors); parts thereof
8413,Pumps for liquids whether or not fitted with a measuring device (excl. ceramic pumps and secretion aspirating pumps for medical use and medical pumps carried on or implanted in the body); liquid elevators (excl. pumps); parts thereof
8414,Air or vacuum pumps (excl. gas compound elevators and pneumatic elevators and conveyors); air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan whether or not fitted with filters; parts thereof
8415,Air conditioning machines comprising a motor-driven fan and elements for changing the temperature and humidity incl. those machines in which the humidity cannot be separately regulated; parts thereof
8416,Furnace burners for liquid fuel for pulverised solid fuel or for gas; mechanical stokers incl. their mechanical grates mechanical ash dischargers and similar appliances; parts thereof
8417,Industrial or laboratory furnaces and ovens non-electric incl. incinerators (excl. drying ovens and ovens for cracking operations)
8418,Refrigerators freezers and other refrigerating or freezing equipment electric or other; heat pumps; parts thereof (excl. air conditioning machines of heading 8415)
8419,Machinery plant or laboratory equipment whether or not electrically heated (excl. furnaces ovens and other equipment of heading 8514) for the treatment of materials by a process involving a change of temperature such as heating cooking roasting distilling rectifying sterilising pasteurising steaming drying evaporating vaporising condensing or cooling (excl. those used for domestic purposes); instantaneous or storage water heaters non-electric; parts thereof
8420,Calendering or other rolling machines (other than for metals or glass) and cylinders therefor; parts thereof
8421,Centrifuges incl. centrifugal dryers (excl. those for isotope separation); filtering or purifying machinery and apparatus for liquids or gases; parts thereof (excl. artificial kidneys)
8422,Dishwashing machines; machinery for cleaning or drying bottles or other containers; machinery for filling closing sealing or labelling bottles cans boxes bags or other containers; machinery for capsuling bottles jars tubes and similar containers; other packing or wrapping machinery incl. heat-shrink wrapping machinery; machinery for aerating beverages; parts thereof
8423,Weighing machinery incl. weight-operated counting or checking machines (excl. balances of a sensitivity of 5 cg or better); weighing machine weights of all kinds; parts thereof
8424,Mechanical appliances whether or not hand-operated for projecting dispersing or spraying liquids or powders n.e.s.; fire extinguishers charged or not (excl. fire-extinguishing bombs and grenades); spray guns and similar appliances (excl. electric machines and apparatus for hot spraying of metals or sintered metal carbides of heading 8515); steam or sand blasting machines and similar jet projecting machines; parts thereof n.e.s.
8426,Ships' derricks; cranes incl. cable cranes (excl. wheel-mounted cranes and vehicle cranes for railways); mobile lifting frames straddle carriers and works trucks fitted with a crane
8427,Fork-lift trucks; other works trucks fitted with lifting or handling equipment (excl. straddle carriers and works trucks fitted with a crane)
8428,Lifting handling loading or unloading machinery e.g. lifts escalators conveyors teleferics (excl. pulley tackle and hoists winches and capstans jacks cranes of all kinds mobile lifting frames and straddle carriers works trucks fitted with a crane fork-lift trucks and other works trucks fitted with lifting or handling equipment)
8429,Self-propelled bulldozers angledozers graders levellers scrapers mechanical shovels excavators shovel loaders tamping machines and roadrollers
8431,Parts suitable for use solely or principally with the machinery of heading 8425 to 8430 n.e.s.
8432,Agricultural horticultural or forestry machinery for soil preparation or cultivation (excl. sprayers and dusters); lawn or sports-ground rollers; parts thereof
8433,Harvesting or threshing machinery incl. straw or fodder balers; grass or hay mowers; machines for cleaning sorting or grading eggs fruit or other agricultural produce; parts thereof (other than machines for cleaning sorting or grading seed grain or dried leguminous vegetables of heading 8437)
8436,Agricultural horticultural forestry poultry-keeping or bee-keeping machinery incl. germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders; parts thereof
8438,Machinery not specified or included elsewhere in this chapter for the industrial preparation or manufacture of food or drink (other than machinery for the extraction or preparation of animal or fixed vegetable fats or oils); parts thereof
8440,Bookbinding machinery incl. book-sewing machines (excl. machinery of heading 8441 general-purpose presses printing machinery of heading 8443 and machines of uses ancillary to printing); parts thereof
8441,Machinery for making up paper pulp paper or paperboard incl. cutting machines of all kinds n.e.s.; parts thereof
8443,Printing machinery used for printing by means of plates cylinders and other printing components of heading 8442 (excl. hectograph or stencil duplicating machines addressing machines and other office printing machines of heading 8469 to 8472); other printers copying machines and facsimile machines whether or not combined; parts thereof
8444,
8447,Knitting machines stitch-bonding machines and machines for making gimped yarn tulle lace embroidery trimmings braid or net and machines for tufting (excl. hem-stitching machines)
8448,Auxiliary machinery for use with machines of heading 8444 8445 8446 or 8447 e.g. dobbies jacquards automatic stop motions shuttle changing mechanisms; parts and accessories suitable for use solely or principally with the machines of this heading or of heading 8444 8445 8446 or 8447 e.g. spindles and spindle flyers card clothing combs extruding nipples shuttles healds and heald-frames hosiery needles
8450,Household or laundry-type washing machines incl. machines which both wash and dry; parts thereof
8451,Machinery (excl. of heading 8450) for washing cleaning wringing drying ironing pressing incl. fusing presses bleaching dyeing dressing finishing coating or impregnating textile yarns fabrics or made-up textile articles and for applying paste to the base fabric or other support used in the manufacture of floor coverings like linoleum; machines for reeling unreeling folding cutting or pinking textile fabrics; parts thereof
8452,Sewing machines (other than book-sewing machines of heading 8440); furniture bases and covers specially designed for sewing machines; sewing machine needles; parts thereof
8454,Converters ladles ingot moulds and casting machines of a kind used in metallurgy or in metal foundries (excl. metal powder presses); parts thereof
